extraction1,extraction2,extraction3,extraction4,extraction5,extraction6,extraction7,extraction8,extraction9,extraction10,Treatment,count
14,16,23,23,20,18,18,18,16,21,Control,1
14,15,20,25,20,22,26,30,15,10,Pro-social,1
14,13,15,18,15,22,15,27,19,24,Pro-social,1
13,30,30,13,30,30,15,16,30,30,Control,1
13,20,25,26,23,23,15,22,15,15,Pro-social,1
13,20,15,10,25,20,15,30,20,25,Control,1
13,18,15,16,21,15,12,22,16,13,Self-serving,1
13,18,8,9,14,7,19,10,10,8,Pro-social,1
13,15,19,25,15,11,8,20,25,30,Pro-social,1
13,15,11,12,12,18,17,15,14,19,Pro-social,1
15,5,20,25,11,14,18,4,28,18,Pro-social,1
13,13,13,13,13,13,13,13,13,13,Pro-social,1
13,13,12,13,13,14,14,18,17,20,Control,1
13,12,15,13,20,10,10,30,15,15,Pro-social,1
12,25,10,25,8,15,18,12,12,18,Pro-social,1
12,25,2,25,25,10,12,10,21,8,Self-serving,1
12,20,10,19,20,13,17,15,17,15,Pro-social,1
12,19,19,15,25,19,28,27,4,16,Control,1
12,15,13,10,10,13,12,13,13,13,Control,1
12,14,13,13,14,13,17,14,12,12,Control,1
12,13,16,25,20,7,5,12,11,30,Pro-social,1
15,5,14,18,11,9,7,30,9,7,Self-serving,1
15,6,25,27,10,21,7,13,16,12,Pro-social,1
11,11,19,19,15,14,19,16,19,16,Pro-social,1
15,13,10,30,30,8,10,30,30,30,Control,1
15,15,15,5,15,15,15,15,15,15,Control,1
15,15,13,10,23,20,17,20,16,20,Self-serving,1
15,15,11,20,19,20,25,15,12,20,Pro-social,1
15,15,10,15,12,15,13,13,13,15,Control,1
15,15,10,15,10,15,15,10,15,20,Control,1
15,14,20,15,15,16,10,15,16,17,Pro-social,1
15,14,14,25,28,29,30,30,20,5,Pro-social,1
15,13,23,20,17,20,16,27,20,15,Self-serving,1
15,13,23,15,14,30,13,15,18,30,Self-serving,1
15,13,14,16,23,14,10,8,12,13,Self-serving,1
15,12,20,5,15,17,21,12,30,26,Control,1
15,8,20,16,16,14,15,21,12,20,Pro-social,1
15,12,18,15,24,25,28,29,27,30,Pro-social,1
15,12,15,18,12,10,15,15,15,20,Control,1
15,11,18,11,12,14,15,20,12,10,Pro-social,1
15,11,14,11,15,15,27,15,16,16,Pro-social,1
15,11,11,11,15,12,20,30,10,15,Pro-social,1
15,10,20,20,18,10,15,8,10,20,Control,1
15,10,18,10,30,15,30,10,14,15,Pro-social,1
15,10,15,17,17,14,10,8,1,12,Pro-social,1
15,10,13,23,12,17,15,15,11,8,Self-serving,1
15,10,13,13,13,13,14,13,13,13,Control,1
12,12,15,15,17,14,15,17,14,18,Pro-social,1
12,12,12,19,18,21,16,18,18,19,Control,1
12,12,11,12,12,12,12,12,12,12,Control,1
11,15,10,15,20,15,11,15,15,15,Pro-social,1
11,15,16,11,25,13,15,16,10,18,Pro-social,1
11,15,15,30,25,25,9,25,30,30,Pro-social,1
11,15,15,15,23,15,15,12,12,15,Self-serving,1
11,15,15,15,18,18,22,15,20,20,Pro-social,1
11,15,15,15,14,15,15,15,21,16,Pro-social,1
11,15,15,11,15,15,15,15,15,11,Pro-social,1
11,15,13,14,10,12,13,14,14,15,Pro-social,1
11,15,13,12,12,13,12,13,10,12,Pro-social,1
11,15,12,22,9,14,8,11,10,7,Pro-social,1
11,15,11,4,13,10,14,14,16,10,Pro-social,1
11,15,10,11,13,9,5,20,14,12,Pro-social,1
12,7,27,25,20,15,17,20,20,26,Pro-social,1
11,15,10,9,20,18,7,8,13,30,Self-serving,1
11,15,9,13,20,10,14,20,15,11,Self-serving,1
11,14,11,11,15,3,20,7,30,13,Pro-social,1
11,13,24,12,16,20,13,28,25,30,Pro-social,1
11,13,15,13,16,19,10,17,18,10,Pro-social,1
11,13,13,15,23,16,19,16,16,16,Self-serving,1
11,13,8,5,9,9,11,14,7,19,Pro-social,1
11,12,14,12,12,13,11,14,14,19,Pro-social,1
11,12,13,14,13,14,12,11,11,12,Self-serving,1
11,11,24,15,8,9,26,5,15,15,Pro-social,1
11,15,16,16,20,15,18,18,20,15,Pro-social,1
11,15,17,18,15,16,19,13,16,14,Pro-social,1
11,15,19,30,15,5,25,10,12,28,Pro-social,1
11,15,20,18,19,20,18,22,18,15,Pro-social,1
11,20,20,17,16,15,15,20,20,15,Pro-social,1
11,20,15,14,15,10,15,25,14,11,Pro-social,1
11,20,15,13,25,10,19,30,13,16,Pro-social,1
11,20,15,11,12,13,10,8,30,30,Pro-social,1
11,20,10,15,10,15,15,15,14,12,Pro-social,1
11,19,30,29,30,30,11,23,25,20,Pro-social,1
11,19,15,15,19,15,15,15,15,15,Pro-social,1
11,19,5,10,15,5,30,1,15,10,Pro-social,1
11,18,30,24,15,20,18,18,20,18,Pro-social,1
11,18,23,20,10,11,10,10,11,30,Self-serving,1
11,18,10,12,15,13,10,13,15,16,Pro-social,1
11,17,19,20,30,15,25,20,30,15,Pro-social,1
11,17,19,18,18,11,13,16,12,18,Pro-social,1
11,17,16,20,7,18,27,10,13,15,Pro-social,1
11,17,12,9,21,17,16,8,24,11,Pro-social,1
11,17,11,14,15,14,1,6,8,15,Pro-social,1
11,16,16,11,22,28,28,18,20,18,Pro-social,1
11,16,15,17,13,17,20,18,23,20,Pro-social,1
11,16,14,30,22,18,16,16,16,18,Pro-social,1
11,15,23,11,13,15,13,12,17,10,Pro-social,1
11,15,20,25,15,10,15,10,16,12,Pro-social,1
30,30,30,30,30,30,30,30,30,30,Pro-social,1
